Variable,Mode 1 (Pearson r),Mode 1 (p-value),Mode 2 (Pearson r),Mode 2 (p-value),Mode 3 (Pearson r),Mode 3 (p-value),Mode 4 (Pearson r),Mode 4 (p-value)
APOE4 (N=2041),-0.051,2.17e-02,0.013,5.69e-01,-0.009,6.82e-01,0.100,6.19e-06
FDG (N=444),0.081,8.93e-02,0.040,4.04e-01,0.204,1.55e-05,-0.070,1.41e-01
AV45 (N=911),-0.052,1.17e-01,-0.005,8.89e-01,-0.043,1.97e-01,0.081,1.48e-02
FBB (N=304),-0.154,7.39e-03,-0.021,7.12e-01,-0.018,7.57e-01,0.090,1.16e-01
ABETA (N=207),0.025,7.26e-01,-0.024,7.30e-01,0.069,3.27e-01,0.024,7.33e-01
TAU (N=263),-0.045,4.64e-01,-0.075,2.29e-01,-0.030,6.26e-01,0.081,1.92e-01
PTAU (N=261),-0.023,7.12e-01,-0.081,1.92e-01,-0.039,5.31e-01,0.056,3.65e-01
MMSE (N=2012),0.120,7.41e-08,0.089,6.23e-05,0.122,4.32e-08,-0.177,1.43e-15
MOCA (N=1960),0.152,1.33e-11,0.073,1.31e-03,0.125,2.52e-08,-0.158,1.85e-12
LDELTOTAL (N=1862),0.097,2.58e-05,0.084,3.05e-04,0.130,2.02e-08,-0.116,5.38e-07
mPACCdigit (N=2019),0.128,8.39e-09,0.102,4.77e-06,0.137,5.65e-10,-0.185,4.90e-17
mPACCtrailsB (N=2019),0.146,4.17e-11,0.104,2.56e-06,0.141,1.82e-10,-0.195,1.07e-18
RAVLT_immediate (N=1999),0.098,1.08e-05,0.099,8.75e-06,0.111,6.36e-07,-0.142,2.04e-10
RAVLT_learning (N=1999),0.092,3.57e-05,0.099,9.02e-06,0.086,1.26e-04,-0.116,1.92e-07
RAVLT_forgetting (N=1996),-0.005,8.12e-01,0.018,4.13e-01,-0.035,1.21e-01,0.047,3.55e-02
RAVLT_perc_forgetting (N=1995),-0.059,8.79e-03,-0.012,6.05e-01,-0.072,1.23e-03,0.107,1.80e-06
CDRSB (N=2002),-0.144,9.68e-11,-0.111,6.02e-07,-0.116,1.92e-07,0.206,1.18e-20
ADAS11 (N=2006),-0.128,9.35e-09,-0.099,9.21e-06,-0.128,8.38e-09,0.188,1.97e-17
ADAS13 (N=1998),-0.137,8.59e-10,-0.103,4.35e-06,-0.131,4.07e-09,0.186,4.42e-17
ADASQ4 (N=2015),-0.116,1.87e-07,-0.084,1.75e-04,-0.112,5.14e-07,0.145,5.98e-11
TRABSCOR (N=1949),-0.158,2.57e-12,-0.054,1.64e-02,-0.089,8.35e-05,0.156,4.56e-12
EcogPtMem (N=1999),-0.109,9.74e-07,-0.073,1.08e-03,-0.035,1.17e-01,0.076,6.64e-04
EcogPtLang (N=1995),-0.114,3.27e-07,-0.039,8.32e-02,-0.014,5.44e-01,0.083,2.17e-04
EcogPtVisspat (N=1967),-0.137,1.20e-09,-0.042,6.31e-02,-0.054,1.59e-02,0.111,8.03e-07
EcogPtPlan (N=1997),-0.124,2.87e-08,-0.059,8.58e-03,-0.057,1.07e-02,0.081,2.91e-04
EcogPtOrgan (N=1954),-0.115,3.51e-07,-0.106,2.82e-06,-0.065,3.96e-03,0.045,4.77e-02
EcogPtDivatt (N=1984),-0.097,1.62e-05,-0.052,1.95e-02,-0.003,8.99e-01,0.071,1.57e-03
EcogPtTotal (N=1999),-0.135,1.36e-09,-0.071,1.43e-03,-0.038,8.87e-02,0.091,4.21e-05
EcogSPMem (N=1974),-0.121,7.76e-08,-0.100,8.88e-06,-0.114,4.06e-07,0.155,4.24e-12
EcogSPLang (N=1973),-0.112,6.33e-07,-0.074,1.07e-03,-0.092,4.02e-05,0.145,8.79e-11
EcogSPVisspat (N=1926),-0.123,5.70e-08,-0.086,1.58e-04,-0.107,2.51e-06,0.158,2.82e-12
EcogSPPlan (N=1958),-0.115,3.18e-07,-0.086,1.39e-04,-0.102,5.89e-06,0.142,2.97e-10
EcogSPOrgan (N=1906),-0.135,3.14e-09,-0.119,1.72e-07,-0.113,7.44e-07,0.157,5.80e-12
EcogSPDivatt (N=1929),-0.101,9.82e-06,-0.087,1.34e-04,-0.093,4.32e-05,0.139,7.99e-10
EcogSPTotal (N=1973),-0.125,2.63e-08,-0.101,6.77e-06,-0.114,4.18e-07,0.160,7.63e-13
FAQ (N=1987),-0.128,1.01e-08,-0.102,5.01e-06,-0.122,4.45e-08,0.185,9.06e-17
